SupplierID,Company Name,Contact,Company Location,Category,Rating
SPL-00001,Table Masters Inc. LLC,Jeff Brown,Kuala Lumpur,Tables,4.3
SPL-00002,Wood Table Masters Inc. Sdn Bhd,Michael Smith,Johor Baharu,Sofas,3.0
SPL-00003,Heritage Furniture Makers Co.,Maria Garcia,Kuala Lumpur,Office Furniture,4.0
SPL-00004,Metal Office Pro Furnishings LLC,Michael Alice,Batu Pahat,Tables,3.0
SPL-00005,Office Pro Furnishings Corp.,Michael Johnson,Batu Pahat,Bookcases,3.4
SPL-00006,Plastic Classic Comfort Interiors LLC,Jane Garcia,Johor Baharu,Outdoor Furniture,3.2
SPL-00007,Leather Table Masters Inc. Co.,Maria Johnson,Johor Baharu,Bar Stools,3.1
SPL-00008,Rattan Classic Comfort Interiors LLC,Jane Garcia,Batu Pahat,Office Furniture,4.1
SPL-00009,Luxury Living Spaces Inc.,Maria Jones,Johor Baharu,Dining Sets,4.1
SPL-00010,Heritage Furniture Makers Sdn Bhd,Emma Garcia,Batu Pahat,Wardrobes,4.1
SPL-00011,Heritage Furniture Makers Inc.,John Brown,Johor Baharu,Benches,3.3
SPL-00012,Classic Comfort Interiors LLC,Sarah Brown,Muar,Shelving,4.7
SPL-00013,Table Masters Inc. Ltd.,Robert Brown,Kulai,Outdoor Furniture,3.2
SPL-00014,Fabric Premium Seating Solutions Ltd.,Sarah Brown,Kuala Lumpur,Outdoor Furniture,3.7
SPL-00015,Metal Office Pro Furnishings LLC,Robert Garcia,Kulai,Sofas,3.5
SPL-00016,Premium Seating Solutions Ltd.,John Johnson,Kulai,Benches,3.2
SPL-00017,Table Masters Inc. Corp.,Michael Williams,Muar,Chairs,4.9
SPL-00018,Space Savers Furniture Sdn Bhd,Robert Johnson,Batu Pahat,Bookcases,4.1
SPL-00019,Premium Seating Solutions Inc.,Robert Smith,Kulai,Cabinets,3.7
SPL-00020,Rattan Elegant Living Designs Corp.,Jeff Brown,Johor Baharu,Beds,4.7
SPL-00021,Rattan Elegant Living Designs LLC,Jane Williams,Kuala Lumpur,Bar Stools,3.7
SPL-00022,Heritage Furniture Makers Inc.,Michael Brown,Kulai,Benches,4.3
SPL-00023,Modern Home Furnishings Sdn Bhd,Sarah Lee,Kulai,Office Furniture,2.8
SPL-00024,Modern Home Furnishings LLC,Maria Brown,Johor Baharu,Sofas,4.3
SPL-00025,Comfort Craft Furniture Inc.,John Alice,Johor Baharu,Outdoor Furniture,3.1
SPL-00026,Table Masters Inc. Ltd.,Robert Lee,Kuala Lumpur,Benches,3.7
SPL-00027,Artisan Woodworks Inc.,Michael Alice,Muar,Shelving,3.7
SPL-00028,Bedroom Bliss Creations LLC,Jane Smith,Muar,Recliners,3.3
SPL-00029,Outdoor Living Designs LLC,Maria Lee,Kuala Lumpur,Shelving,3.0
SPL-00030,Wood Contemporary Style Co. Inc.,Emma Johnson,Johor Baharu,Bar Stools,5.0
SPL-00031,Rattan Outdoor Living Designs LLC,Maria Williams,Muar,Office Furniture,3.7
SPL-00032,Metal Outdoor Living Designs Ltd.,Michael Smith,Muar,Desks,4.8
SPL-00033,Office Pro Furnishings Ltd.,Emma Williams,Kuala Lumpur,Desks,3.0
SPL-00034,Wood Comfort Craft Furniture Co.,Sarah Smith,Johor Baharu,Dining Sets,3.7
SPL-00035,Space Savers Furniture Co.,Jane Williams,Johor Baharu,Dining Sets,2.7
SPL-00036,Outdoor Living Designs Inc.,Maria Smith,Kulai,Sofas,3.5
SPL-00037,Premium Seating Solutions Co.,Jeff Brown,Batu Pahat,Beds,3.2
SPL-00038,Wood Master Creations Sdn Bhd,Emma Alice,Johor Baharu,Chairs,3.6
SPL-00039,Premium Seating Solutions LLC,Maria Jones,Kuala Lumpur,Wardrobes,3.4
SPL-00040,Elegant Living Designs Inc.,Robert Lee,Kulai,Recliners,3.3
SPL-00041,Office Pro Furnishings Sdn Bhd,Jeff Johnson,Kuala Lumpur,Desks,2.8
SPL-00042,Elegant Living Designs Sdn Bhd,Jeff Jones,Kulai,Beds,4.3
SPL-00043,Modern Home Furnishings Sdn Bhd,Jeff Lee,Batu Pahat,Wardrobes,4.8
SPL-00044,Comfort Craft Furniture LLC,Jeff Smith,Johor Baharu,Cabinets,4.4
SPL-00045,Table Masters Inc. Corp.,Emma Garcia,Kulai,Chairs,2.8
SPL-00046,Plastic Space Savers Furniture Sdn Bhd,John Alice,Kulai,Outdoor Furniture,2.9
SPL-00047,Wood Master Creations LLC,John Alice,Kuala Lumpur,Bar Stools,3.1
SPL-00048,Rattan Elegant Living Designs Corp.,Michael Williams,Kuala Lumpur,Bookcases,2.9
SPL-00049,Wood Office Pro Furnishings Inc.,Robert Alice,Muar,Benches,4.2
SPL-00050,Bedroom Bliss Creations Inc.,Jane Garcia,Johor Baharu,Bookcases,3.7
SPL-00051,Modern Home Furnishings Ltd.,Maria Brown,Johor Baharu,Bar Stools,3.0
SPL-00052,Rattan Luxury Living Spaces Corp.,Jeff Alice,Kulai,Shelving,4.2
SPL-00053,Outdoor Living Designs Co.,John Johnson,Batu Pahat,Tables,4.0
SPL-00054,Classic Comfort Interiors LLC,Michael Alice,Batu Pahat,Shelving,4.0
SPL-00055,Heritage Furniture Makers LLC,Maria Jones,Johor Baharu,Recliners,3.6
SPL-00056,Heritage Furniture Makers Co.,Maria Alice,Muar,Sofas,4.9
SPL-00057,Space Savers Furniture Corp.,Jane Jones,Kulai,Desks,4.2
SPL-00058,Luxury Living Spaces Ltd.,Robert Brown,Muar,Bar Stools,4.9
SPL-00059,Plastic Table Masters Inc. Sdn Bhd,Jeff Garcia,Kulai,Bookcases,2.5
SPL-00060,Classic Comfort Interiors Inc.,Sarah Lee,Muar,Office Furniture,4.2
SPL-00061,Rattan Heritage Furniture Makers Ltd.,Robert Johnson,Batu Pahat,Outdoor Furniture,4.2
SPL-00062,Premium Seating Solutions Corp.,Maria Jones,Kuala Lumpur,Benches,3.0
SPL-00063,Comfort Craft Furniture LLC,Emma Johnson,Muar,Shelving,4.7
SPL-00064,Fabric Premium Seating Solutions Inc.,Emma Garcia,Kuala Lumpur,Tables,4.1
SPL-00065,Metal Comfort Craft Furniture LLC,Robert Lee,Johor Baharu,Outdoor Furniture,3.1
SPL-00066,Outdoor Living Designs LLC,Emma Alice,Muar,Dining Sets,4.5
SPL-00067,Space Savers Furniture Co.,Emma Williams,Muar,Office Furniture,3.1
SPL-00068,Modern Home Furnishings Sdn Bhd,Emma Brown,Batu Pahat,Office Furniture,2.7
SPL-00069,Classic Comfort Interiors Inc.,Sarah Johnson,Kuala Lumpur,Tables,3.1
SPL-00070,Wood Bedroom Bliss Creations Inc.,Michael Garcia,Batu Pahat,Outdoor Furniture,3.7
SPL-00071,Fabric Comfort Craft Furniture Inc.,John Garcia,Muar,Chairs,4.9
SPL-00072,Rattan Classic Comfort Interiors Ltd.,Michael Brown,Muar,Beds,3.2
SPL-00073,Contemporary Style Co. LLC,Michael Williams,Muar,Wardrobes,2.8
