SKU,ItemName,Category,Material,Color,WarehouseLocation,Quantity,Supplier,LastUpdated,Description
WRD-W-RED-0001,Deluxe Wood Wardrobe,Wardrobe,Wood,Red,B3-R4,114,Urban Living,18/09/2025,"Deluxe Wood Wardrobe - Wood Red design, sourced from Urban Living."
WRD-W-NAT-0001,Stylish Wood Wardrobe,Wardrobe,Wood,Natural,A2-R1,15,FurniWorld,21/07/2025,"Stylish Wood Wardrobe - Wood Natural design, sourced from FurniWorld."
BED-L-BGE-0001,Compact Beige Leather Bed,Bed,Leather,Beige,D3-R2,214,Classic Interiors,25/03/2025,"Compact Beige Leather Bed - Leather Beige design, sourced from Classic Interiors."
BNH-R-RED-0001,Elegant Red Rattan Bench,Bench,Rattan,Red,C4-R3,174,Global Furnish,22/08/2025,"Elegant Red Rattan Bench - Rattan Red design, sourced from Global Furnish."
BED-G-BLK-0001,Modern Black Glass Bed,Bed,Glass,Black,C3-R1,49,Nova Supplies,17/05/2025,"Modern Black Glass Bed - Glass Black design, sourced from Nova Supplies."
BNH-R-RED-0002,Cozy Red Rattan Bench,Bench,Rattan,Red,D3-R1,63,EverWood,30/09/2025,"Cozy Red Rattan Bench - Rattan Red design, sourced from EverWood."
STL-R-NAT-0001,Premium Natural Rattan Stool,Stool,Rattan,Natural,D4-R2,98,FurniWorld,17/10/2025,"Premium Natural Rattan Stool - Rattan Natural design, sourced from FurniWorld."
WRD-M-OAK-0001,Modern Metal Wardrobe,Wardrobe,Metal,Oak,B3-R2,443,FurniWorld,29/04/2025,"Modern Metal Wardrobe - Metal Oak design, sourced from FurniWorld."
CAB-C-BRN-0001,Elegant Composite Cabinet,Cabinet,Composite,Brown,C2-R4,181,Classic Interiors,01/12/2024,"Elegant Composite Cabinet - Composite Brown design, sourced from Classic Interiors."
CAB-W-NAT-0001,Elegant Wood Cabinet,Cabinet,Wood,Natural,D3-R1,373,Classic Interiors,18/08/2025,"Elegant Wood Cabinet - Wood Natural design, sourced from Classic Interiors."
